GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spring-petclinic-rest,org.springframework.samples.petclinic,PetClinicApplication,5,3,0,0,2,1,1,1,1,1
spring-petclinic-rest,org.springframework.samples.petclinic.model,NamedEntity,0,13,0,0,0,5,0,4,0,4
spring-petclinic-rest,org.springframework.samples.petclinic.model,Specialty,0,3,0,0,0,1,0,1,0,1
spring-petclinic-rest,org.springframework.samples.petclinic.model,Role,0,17,0,0,0,7,0,5,0,5
spring-petclinic-rest,org.springframework.samples.petclinic.model,PetType,0,3,0,0,0,1,0,1,0,1
spring-petclinic-rest,org.springframework.samples.petclinic.model,Visit,0,27,0,0,0,12,0,7,0,7
spring-petclinic-rest,org.springframework.samples.petclinic.model,BaseEntity,0,17,0,2,0,5,0,5,0,4
spring-petclinic-rest,org.springframework.samples.petclinic.model,Owner,60,101,7,3,17,26,6,16,2,15
spring-petclinic-rest,org.springframework.samples.petclinic.model,Person,0,17,0,0,0,7,0,5,0,5
spring-petclinic-rest,org.springframework.samples.petclinic.model,User,0,52,1,1,0,19,1,10,0,10
spring-petclinic-rest,org.springframework.samples.petclinic.model,Pet,4,68,0,2,2,21,1,12,1,11
spring-petclinic-rest,org.springframework.samples.petclinic.model,Vet,4,52,0,2,2,14,1,8,1,7
spring-petclinic-rest,org.springframework.samples.petclinic.service,UserServiceImpl,5,43,4,6,1,10,4,3,0,2
spring-petclinic-rest,org.springframework.samples.petclinic.service,ClinicServiceImpl,0,214,0,0,0,52,0,38,0,38
spring-petclinic-rest,org.springframework.samples.petclinic.security,BasicAuthenticationConfig,0,32,0,0,0,13,0,4,0,4
spring-petclinic-rest,org.springframework.samples.petclinic.security,DisableSecurityConfig,19,0,0,0,6,0,3,0,3,0
spring-petclinic-rest,org.springframework.samples.petclinic.security,Roles,0,12,0,0,0,4,0,1,0,1
spring-petclinic-rest,org.springframework.samples.petclinic.repository.jpa,JpaSpecialtyRepositoryImpl,4,71,1,3,0,16,1,7,0,6
spring-petclinic-rest,org.springframework.samples.petclinic.repository.jpa,JpaPetTypeRepositoryImpl,15,100,1,7,3,19,2,8,1,5
spring-petclinic-rest,org.springframework.samples.petclinic.repository.jpa,JpaUserRepositoryImpl,5,16,1,1,1,4,1,2,0,2
spring-petclinic-rest,org.springframework.samples.petclinic.repository.jpa,JpaVisitRepositoryImpl,4,55,1,3,0,12,1,7,0,6
spring-petclinic-rest,org.springframework.samples.petclinic.repository.jpa,JpaOwnerRepositoryImpl,4,65,1,3,0,15,1,7,0,6
spring-petclinic-rest,org.springframework.samples.petclinic.repository.jpa,JpaVetRepositoryImpl,4,42,1,3,0,9,1,6,0,5
spring-petclinic-rest,org.springframework.samples.petclinic.repository.jpa,JpaPetRepositoryImpl,0,65,1,3,0,14,1,7,0,6
spring-petclinic-rest,org.springframework.samples.petclinic.mapper,PetMapperImpl,49,286,14,22,17,75,13,19,1,13
spring-petclinic-rest,org.springframework.samples.petclinic.mapper,UserMapperImpl,68,143,13,11,19,36,11,10,2,7
spring-petclinic-rest,org.springframework.samples.petclinic.mapper,SpecialtyMapperImpl,19,78,5,7,6,21,5,6,0,5
spring-petclinic-rest,org.springframework.samples.petclinic.mapper,VetMapperImpl,58,114,9,9,16,29,9,7,1,6
spring-petclinic-rest,org.springframework.samples.petclinic.mapper,VisitMapperImpl,8,101,4,8,4,29,4,8,0,6
